,,,,,,
,,,,,,
DAILY  SERVICE REPORT,,,,,,
NAME OF THE FACIAL ,STEPS,AMOUNT,NET QUANTITY,QUANTITY PER FACIAL ,PER FACIAL COST,BILL PRICE
DAED SEA DEEP HYDRATE FACIAL KIT,FACIAL KIT,1372,6 KIT,1 KIT,228,
DEAD SEA ARGAN CLYING OILY FACIAL KIT,FACIAL KIT,1372,6 KIT,1 KIT,228,
DEAD SEA ARG CLARIFYING ACNE FACIAL KIT,FACIAL KIT,1372,6 KIT ,1 KIT,228,
DEAD SEA ANTI AGING FACIAL,FACIAL KIT,1372,6 KIT,1 KIT,228,
GOLD MOROCON ANTI AGING FACIAL ,FACIAL KIT,1402,6 KIT,1 KIT ,233,
GOLD MOROCO ARGAN DRY SKIN FACIAL ,FACIAL KIT ,1402,6 KIT ,1 KIT ,233,
GOLD MOROCON ARGAN OILY SKIN FACIAL ,FACIAL KIT ,1402,6 KIT ,1 KIT ,233,
SEASOUL BASIC ORGANIC CLEAN UP DRY SKIN,CLEAN UP KIT,549,6 KIT ,1 KIT ,92,
SEASOUL BASIC ORGANIC CLEAN UP OILY SKIN ,CLEAN UP KIT,549,6 KIT,1 KIT,92,
SEASOUL BASIC ORGANIC ACNE CLEAN UP ,CLEAN UP KIT,549,6 KIT,1 KIT ,92,
SEASOUL BASIC ORGANIC BRAZILLIAN ,CLEAN UP KIT,549,6 KIT ,1 KIT ,92,
CRYO-RED CARPET DEPIGMENTATION FACIAL ,FACIAL KIT ,2288,6 KIT ,1 KIT ,382,
CRYO-RED CARPET DNA ANTI AGING FACIAL ,FACIAL KIT ,2288,6 KIT ,1 KIT ,382,
CRYO-RED CARPET DNA PORE MINIMISING FACIAL,FACIAL KIT,2288,6 KIT,1 KIT ,382,
BASIC MANI PEDI ,PEDICURE KIT ,230,6 KIT ,1 KIT ,38,
DERMA ICE-BRIGHTENING ANTI ACNE FACIAL ,FACIAL KIT ,1770,6 KIT,1 KIT ,295,
DERMA ICE-FACIAL INSTANTGLOW FACIAL ,FACIAL KIT ,1770,6 KIT ,1 KIT ,295,
DERMA ICE-FACIAL TIGHTENING FACIAL ,FACIAL KIT ,1770,6 KIT ,1 KIT ,295,
SEASOUL PURE MOIST FACIAL ,FACIAL KIT ,732,6 KIT ,1 KIT ,122,
SEASOUL PURE PORE FACIAL ,FACIAL KIT ,732,6 KIT ,1 KIT ,122,
CHOCOLATE MINT PEDICURE ,PEDICURE KIT ,610,6 KIT ,1 KIT ,102,
DEAD SEA CHOCOMINT FACIAL ,FACIAL KIT ,1006,6 KIT ,1 KIT ,167,
